Number|Name|Type|Feature|Feature - Story
596|Defect on story #269|Defect||
595|Migration:Accept terms & Condition Defects|Defect||
594|Comments from Emily|Defect||
593|The timing on the slideshow isn't the same for all images.For some I am getting a lot less than 3 seconds.|Defect||
592|migration: Long title should be added only if title is more than 36 characters in length|Task|Legacy App Migration|
591|Update HomePage - Save bluelable overwrites profile information|Defect||
590|Label detail page - Minor changes|Defect||
589|Page/No filter needs to be handled inside the folder popup|Task|UI|
588|Breadcrumb vanishes when you edit label|Defect||
587|MongoDB Logs fills up disk space very quickly - needs investigation|Defect||
586|Prevent Admin from blocking labels with pending CR/DR|Task|Admin Interface|
585|SentBox for Users - Broken|Defect||
584|view changed label - Blank to Value changes|Story|Label|
583|Adding 2 similar fabricators|Defect||
582|CR - view label bugs|Defect||
581|WL label details view|Defect||
580|View SentBox folder - broken for admin and users|Defect||
579|Label sort not working.|Defect||
578|IE:As an artist Unable to attach files for admin's mail|Defect||
577|Modifications on Member info|Task|Label|
576|ERROR When trying to add a whitelabel sent to me into a folder|Defect||
575|Admin Reject request fields should be mandatory|Defect||
574|Two notifications for video watermarking failure|Defect|Technical|
573|Attachment missing for change request mailbox for an artist|Defect||
572|Mail text box shown to admin after the change request accepted or rejected|Defect||
571|Add contacts info message styling|Task|UI|
570|View notification for change request not as per mock up|Defect||
569|user re-direction after a label is deleted from a folder|Defect||
568|Auto Suggest Contacts feature requires atleast 3 characters to be typed-in|Task|Messaging|
567|sending label to contact - auto suggest contacts works only in lowercase - it should be case in-sensitive|Defect||
566|Expected Message is not displayed to user when watermarking fails on uploading corrupted image|Defect||
565|ERROR 500 When accessing Artist homepage / Edit Preferences|Defect||
564|Mail not received by artist personal id when admin sends him more messages on registeration confirmation|Defect||
563|space in user approval notification mail|Defect||
562|send icon missing in folde/grid view|Defect||
561|View Sent box : Admin|Story|Admin Interface|#195 Admin Interface
560|Signed in User remains in login page when he tries to print a label without loging in|Defect||
559|Manage Folder on label search grid view not working as expected|Defect||
558|Login link for signed in session.|Defect||
557|Defects on context navigation for previous/next|Defect||
556|Move user session to DB|Task||
555|Secure job orchestrator dashboard|Task||
554|Fix mass assignment vulnerability|Task||
552|Add a Shared label to folder functionality not working from Inbox|Defect||
551|"""Your homepage is now blank"" message is displayed on Labels View page also"|Defect||
550|Migrate to Ruby 1.9.3 and Rails 3.2.2|Task|NFR/CFR|
549|Estate User - application breaks when user selects view all label for an estate artist|Defect||
548|Error message when submitting a CR|Defect||
547|Error message appears on the registration page even before you hit 'register'|Defect||
546|CR - signature discription bug|Defect||
545|Unapproved artists clicking on homepage shows page not found|Task||
544|Short title of labels should allow only 36 charaters|Task|Label|
543|Mailbox Migration : Unable to read mails sent by certain users|Defect||
542|Password accepts space, Username length restricted to 15 chars|Defect||
541|notification considered un-read until the recipient reads the message|Defect||
540|Unapproved artists can go to change username by typing URL|Defect||
539|Admin - label view - bugs|Defect||
538|Release N|Release||
537|Admin - label view - extra watermark|Defect||
536|Status doesnt change read CR|Defect||
535|Label type filter should not appear on search result for searches before login|Defect||
534|Watermarking job runs and fails for hi-res image when updating details|Defect||
533|Search using dimension|Defect||
532|Uploaded slide show & high resolution images remains as watermarking in progress|Defect||
531|Unable to attach documents|Defect||
530|Label size exceeds the box while trying to ocnvert it to a bluelabel|Defect|Label|
529|Label count is negative|Defect||
528|Changes in public display information is not viewable for the admin|Defect||
527|Bluelabel created from a collected white label doesn't get added to the Labels Created folder|Defect||
526|Weight unit is editable if Weight type is 'Not Entered'|Defect||
525|Updating a collected label throws 404|Defect||
524|unbale to view CR in admin|Defect||
523|Restrict Folder names to 30 + 6 characters|Task|Organising|
522|Advance search should return WL|Defect||
521|Hi res and Slideshow images are shrinked|Defect||
520|Share by email @ home page not working as expected|Defect|Website|
519|Bugs on #69|Defect||
518|Migration Site : Admin User gets access denied error when logged in|Defect||
517|Migrate Mailbox : unable to read the message,mail date not migrated,read msg appears as unread|Defect|User migration|
516|Auto Suggest feature for Artist Location fails with Error 500|Defect||
515|Fields highlight on error|Defect||
514|hi-res images not being displayed - AWS throws 404 hi-res images not being displayed - AWS throws 404|Defect||
513|When removing Hi res images, slideshow, videos, Attachments there should be a confirmation asked to the user.|Task||
512|thumbnail Image alignment for Admin when viewing a Label page is not proper|Defect||
511|Image-WaterMarking Job runs when I add a label shared with me to my folder|Defect||
510|View Hi-Res by clicking on the thumbnail|Task|Label|
509|Change Message for Artist when viewing labels from home page|Task|Artist home page|
508|Create WhiteLabel Hover Message not as expected|Defect|Website|
507|Create WhiteLabel Hover Message not as expected|Defect||
506|App Breaks when a not logged in user tries to print a Bluelabel|Defect|Website|
505|Advanced Search - Searching within my folders|Story|Search|
504|High Resolution Image - Edit image not working when all 4 images are uploaded|Defect|Info related|
503|unable to add labels to folders|Defect||
502|Change request - error notifications bugs|Defect||
501|Folder Migration : Sub-folders under consigned are not migrated|Defect|User migration|
500|Quick search - not working as expected for white label search|Defect||
499|Convert - Label category details - bugs - 2|Defect||
498|Error Message overlap with help text on Registration - UI issue|Defect||
497|Approve/Reject Delete Request|Story|Admin Interface|#195 Admin Interface
496|Admin - Search Labels : Search a specific label|Defect||
495|Tag Labels with Folder Names - allows non-unique names|Defect||
494|Update username and number of slideshow image as per emily's email|Task|User migration|
493|Image credit not appearing properly|Defect||
492|Additional dimensional information should not be mandatory for Performance and Action category|Defect||
491|Mandatory field in white label view details page|Defect||
489|Label from a one folder is viewable under different folder url|Defect||
488|Artist's choice label sequencing(2) - Drag and Drop sequence|Story|Label|#226 Label
487|Labels show up under wrong folders in breadcrumb view|Defect||
486|Add Owner field to labels - White and Blue|Story|Label|
485|view changed label - Admin and member view|Story|Admin Interface|
484|Bluelabel Main image is not visible to migrated user|Defect|User migration|
483|Unabel to download the attached document when acrobat plug-in is not installed|Defect|Website|
482|Create - Image upload not working.|Defect||
